META DATA:
66 (объем бочки)
33 (текущий объем воды в бочке)
2020-08-24T01:19:44.406Z - [username3] - wanna scoop 39| (фэйл)
2020-08-24T02:19:44.406Z - [username10] - wanna top up 24| (успех)
2020-08-24T03:19:44.406Z - [username10] - wanna scoop 11| (успех)
2020-08-24T04:19:44.406Z - [username5] - wanna top up 14| (успех)
2020-08-24T05:19:44.406Z - [username8] - wanna top up 13| (фэйл)
2020-08-24T06:19:44.406Z - [username1] - wanna scoop 48| (успех)
2020-08-24T07:19:44.406Z - [username9] - wanna scoop 46| (фэйл)
2020-08-24T08:19:44.406Z - [username2] - wanna top up 18| (успех)
2020-08-24T09:19:44.406Z - [username6] - wanna top up 11| (успех)
2020-08-24T10:19:44.406Z - [username5] - wanna top up 36| (фэйл)
2020-08-24T11:19:44.406Z - [username2] - wanna top up 47| (фэйл)
2020-08-24T12:19:44.406Z - [username7] - wanna scoop 31| (успех)
2020-08-24T13:19:44.406Z - [username6] - wanna scoop 31| (фэйл)
2020-08-24T14:19:44.406Z - [username2] - wanna scoop 32| (фэйл)
2020-08-24T15:19:44.406Z - [username5] - wanna scoop 26| (фэйл)
2020-08-24T16:19:44.406Z - [username10] - wanna top up 35| (успех)
2020-08-24T17:19:44.406Z - [username1] - wanna scoop 11| (успех)
2020-08-24T18:19:44.406Z - [username8] - wanna top up 13| (успех)
2020-08-24T19:19:44.406Z - [username6] - wanna top up 13| (успех)
2020-08-24T20:19:44.406Z - [username10] - wanna scoop 16| (успех)
2020-08-24T21:19:44.406Z - [username1] - wanna scoop 35| (успех)
2020-08-24T22:19:44.406Z - [username10] - wanna top up 44| (успех)
2020-08-24T23:19:44.406Z - [username5] - wanna scoop 11| (успех)
2020-08-25T00:19:44.406Z - [username9] - wanna scoop 44| (фэйл)
2020-08-25T01:19:44.406Z - [username1] - wanna scoop 50| (фэйл)
2020-08-25T02:19:44.406Z - [username2] - wanna top up 19| (успех)
2020-08-25T03:19:44.406Z - [username1] - wanna scoop 10| (успех)
2020-08-25T04:19:44.406Z - [username5] - wanna scoop 47| (успех)
2020-08-25T05:19:44.406Z - [username1] - wanna scoop 39| (фэйл)
2020-08-25T06:19:44.406Z - [username2] - wanna top up 12| (успех)
2020-08-25T07:19:44.406Z - [username2] - wanna scoop 49| (фэйл)
2020-08-25T08:19:44.406Z - [username4] - wanna scoop 22| (фэйл)
2020-08-25T09:19:44.406Z - [username5] - wanna scoop 41| (фэйл)
2020-08-25T10:19:44.406Z - [username5] - wanna scoop 25| (фэйл)
2020-08-25T11:19:44.406Z - [username2] - wanna top up 11| (успех)
2020-08-25T12:19:44.406Z - [username9] - wanna top up 36| (успех)
2020-08-25T13:19:44.406Z - [username10] - wanna scoop 32| (успех)
2020-08-25T14:19:44.406Z - [username2] - wanna top up 43| (фэйл)
2020-08-25T15:19:44.406Z - [username2] - wanna scoop 16| (успех)
2020-08-25T16:19:44.407Z - [username9] - wanna scoop 31| (фэйл)
2020-08-25T17:19:44.407Z - [username1] - wanna scoop 31| (фэйл)
2020-08-25T18:19:44.407Z - [username10] - wanna top up 27| (успех)
2020-08-25T19:19:44.407Z - [username6] - wanna top up 37| (фэйл)
2020-08-25T20:19:44.407Z - [username6] - wanna top up 32| (фэйл)
2020-08-25T21:19:44.407Z - [username7] - wanna top up 31| (фэйл)
2020-08-25T22:19:44.407Z - [username9] - wanna scoop 30| (успех)
2020-08-25T23:19:44.407Z - [username9] - wanna top up 35| (успех)
2020-08-26T00:19:44.407Z - [username9] - wanna top up 43| (фэйл)
2020-08-26T01:19:44.407Z - [username7] - wanna top up 20| (фэйл)
2020-08-26T02:19:44.407Z - [username8] - wanna top up 49| (фэйл)
2020-08-26T03:19:44.407Z - [username9] - wanna scoop 28| (успех)
2020-08-26T04:19:44.407Z - [username6] - wanna top up 30| (успех)
2020-08-26T05:19:44.407Z - [username8] - wanna top up 33| (фэйл)
2020-08-26T06:19:44.407Z - [username5] - wanna top up 10| (успех)
2020-08-26T07:19:44.407Z - [username10] - wanna top up 41| (фэйл)
2020-08-26T08:19:44.407Z - [username1] - wanna top up 33| (фэйл)
2020-08-26T09:19:44.407Z - [username9] - wanna top up 27| (фэйл)
2020-08-26T10:19:44.407Z - [username5] - wanna scoop 31| (успех)
2020-08-26T11:19:44.407Z - [username8] - wanna top up 47| (фэйл)
2020-08-26T12:19:44.407Z - [username9] - wanna scoop 17| (успех)
2020-08-26T13:19:44.407Z - [username2] - wanna top up 31| (успех)
2020-08-26T14:19:44.407Z - [username8] - wanna top up 26| (фэйл)
2020-08-26T15:19:44.407Z - [username8] - wanna scoop 20| (успех)
2020-08-26T16:19:44.407Z - [username2] - wanna scoop 32| (фэйл)
2020-08-26T17:19:44.407Z - [username8] - wanna top up 26| (успех)
2020-08-26T18:19:44.407Z - [username10] - wanna scoop 42| (успех)
2020-08-26T19:19:44.407Z - [username10] - wanna top up 29| (успех)
2020-08-26T20:19:44.407Z - [username5] - wanna top up 47| (фэйл)
2020-08-26T21:19:44.407Z - [username9] - wanna scoop 33| (успех)
2020-08-26T22:19:44.407Z - [username2] - wanna top up 40| (успех)
2020-08-26T23:19:44.407Z - [username4] - wanna scoop 31| (успех)
2020-08-27T00:19:44.407Z - [username1] - wanna top up 17| (успех)
2020-08-27T01:19:44.407Z - [username6] - wanna scoop 15| (успех)
2020-08-27T02:19:44.407Z - [username1] - wanna scoop 23| (фэйл)
2020-08-27T03:19:44.407Z - [username10] - wanna scoop 19| (фэйл)
2020-08-27T04:19:44.407Z - [username8] - wanna top up 44| (успех)
2020-08-27T05:19:44.407Z - [username10] - wanna top up 41| (фэйл)
2020-08-27T06:19:44.407Z - [username10] - wanna top up 31| (фэйл)
2020-08-27T07:19:44.407Z - [username5] - wanna scoop 16| (успех)
